DS_Name,Date,age,case
Nouna,2018-03-01,u5,3522
Nouna,2015-04-01,ov5,3169
Nouna,2015-04-01,u5,0
Nouna,2016-04-01,ov5,3428
Nouna,2016-04-01,u5,2253
Nouna,2017-04-01,ov5,4563
Nouna,2017-04-01,u5,5703
Nouna,2018-04-01,ov5,2478
Nouna,2018-04-01,u5,2556
Nouna,2015-05-01,ov5,2682
Nouna,2015-05-01,u5,0
Nouna,2016-05-01,ov5,2722
Nouna,2016-05-01,u5,2252
Nouna,2017-05-01,ov5,3109
Nouna,2017-05-01,u5,3432
Nouna,2018-05-01,ov5,2151
Nouna,2018-05-01,u5,2356
Nouna,2015-06-01,ov5,2064
Nouna,2015-06-01,u5,0
Nouna,2016-06-01,ov5,2680
Nouna,2016-06-01,u5,3580
Nouna,2017-06-01,ov5,3137
Nouna,2017-06-01,u5,3557
Nouna,2018-06-01,ov5,1949
Nouna,2018-06-01,u5,2405
Nouna,2015-07-01,ov5,2673
Nouna,2015-07-01,u5,0
Nouna,2016-07-01,ov5,4108
Nouna,2016-07-01,u5,6845
Nouna,2017-07-01,ov5,7642
Nouna,2017-07-01,u5,12621
Nouna,2018-07-01,ov5,5364
Nouna,2018-07-01,u5,5543
Nouna,2015-08-01,ov5,9684
Nouna,2015-08-01,u5,323
Nouna,2016-08-01,ov5,9679
Nouna,2016-08-01,u5,7982
Nouna,2017-08-01,ov5,10211
Nouna,2017-08-01,u5,9138
Nouna,2018-08-01,ov5,13579
Nouna,2018-08-01,u5,10880
Nouna,2015-09-01,ov5,10283
Nouna,2015-09-01,u5,0
Nouna,2016-09-01,ov5,12431
Nouna,2016-09-01,u5,10186
Nouna,2017-09-01,ov5,10841
Nouna,2017-09-01,u5,11033
Nouna,2018-09-01,ov5,11616
Nouna,2018-09-01,u5,12966
Nouna,2015-10-01,ov5,9062
Nouna,2015-10-01,u5,0
Nouna,2016-10-01,ov5,15208
Nouna,2016-10-01,u5,17495
Nouna,2017-10-01,ov5,11454
Nouna,2017-10-01,u5,12622
Nouna,2018-10-01,ov5,11450
Nouna,2018-10-01,u5,13256
Nouna,2015-11-01,ov5,8408
Nouna,2015-11-01,u5,0
Nouna,2016-11-01,ov5,8992
Nouna,2016-11-01,u5,10515
Nouna,2017-11-01,ov5,10012
Nouna,2017-11-01,u5,10484
Nouna,2018-11-01,ov5,12500
Nouna,2018-11-01,u5,12372
Nouna,2015-12-01,ov5,5364
Nouna,2015-12-01,u5,0
Nouna,2016-12-01,ov5,6234
Nouna,2016-12-01,u5,10726
Nouna,2017-12-01,ov5,6927
Nouna,2017-12-01,u5,10317
Nouna,2018-12-01,ov5,8868
Nouna,2018-12-01,u5,12469
Solenzo,2015-01-01,ov5,4649
Solenzo,2015-01-01,u5,0
Solenzo,2016-01-01,ov5,5020
Solenzo,2016-01-01,u5,3187
Solenzo,2017-01-01,ov5,5901
Solenzo,2017-01-01,u5,6918
Solenzo,2018-01-01,ov5,5428
Solenzo,2018-01-01,u5,5585
Solenzo,2015-02-01,ov5,4552
Solenzo,2015-02-01,u5,0
Solenzo,2016-02-01,ov5,5094
Solenzo,2016-02-01,u5,4160
Solenzo,2017-02-01,ov5,8366
Solenzo,2017-02-01,u5,7884
Solenzo,2018-02-01,ov5,6834
Solenzo,2018-02-01,u5,6929
Solenzo,2015-03-01,ov5,3769
Solenzo,2015-03-01,u5,0
Solenzo,2016-03-01,ov5,3851
Solenzo,2016-03-01,u5,3221
Solenzo,2017-03-01,ov5,6165
Solenzo,2017-03-01,u5,6032
Solenzo,2018-03-01,ov5,3396
Solenzo,2018-03-01,u5,3947
Solenzo,2015-04-01,ov5,4184
Solenzo,2015-04-01,u5,0
Solenzo,2016-04-01,ov5,3569
Solenzo,2016-04-01,u5,2626
Solenzo,2017-04-01,ov5,4854
Solenzo,2017-04-01,u5,3930
Solenzo,2018-04-01,ov5,2834
Solenzo,2018-04-01,u5,2808
Solenzo,2015-05-01,ov5,3678
Solenzo,2015-05-01,u5,0
Solenzo,2016-05-01,ov5,3118
Solenzo,2016-05-01,u5,2127
Solenzo,2017-05-01,ov5,2975
Solenzo,2017-05-01,u5,2386
Solenzo,2018-05-01,ov5,2723
Solenzo,2018-05-01,u5,2835
Solenzo,2015-06-01,ov5,3027
Solenzo,2015-06-01,u5,0
Solenzo,2016-06-01,ov5,3196
Solenzo,2016-06-01,u5,3837
Solenzo,2017-06-01,ov5,3854
Solenzo,2017-06-01,u5,4321
Solenzo,2018-06-01,ov5,3056
Solenzo,2018-06-01,u5,3345
Solenzo,2015-07-01,ov5,3406
Solenzo,2015-07-01,u5,0
Solenzo,2016-07-01,ov5,5263
Solenzo,2016-07-01,u5,10062
Solenzo,2017-07-01,ov5,9402
Solenzo,2017-07-01,u5,13944
Solenzo,2018-07-01,ov5,5462
Solenzo,2018-07-01,u5,7274
Solenzo,2015-08-01,ov5,9761
Solenzo,2015-08-01,u5,0
Solenzo,2016-08-01,ov5,10597
Solenzo,2016-08-01,u5,10307
Solenzo,2017-08-01,ov5,10647
Solenzo,2017-08-01,u5,8732
Solenzo,2018-08-01,ov5,11078
Solenzo,2018-08-01,u5,9145
Solenzo,2015-09-01,ov5,10211
Solenzo,2015-09-01,u5,0
Solenzo,2016-09-01,ov5,9525
Solenzo,2016-09-01,u5,8644
